orgid,in_person,last_meeting_day
50,1,11/12/20
51,1,8/3/20
52,1,5/28/22
53,1,5/22/21
54,1,9/24/21
55,0,1/1/11
56,1,8/21/20
57,1,10/13/21
58,1,4/1/22
59,1,3/12/20
60,1,6/24/21
61,0,1/11/11
62,1,4/4/20
63,1,6/1/22
64,1,2/4/20
65,1,8/8/22
66,1,2/27/22
67,0,1/1/11
68,1,3/13/20
69,0,1/1/11
70,1,12/21/21
71,1,10/14/21
72,1,7/18/22
73,1,12/11/22
74,1,9/11/22
75,1,1/24/20
76,1,4/5/22
77,0,1/1/11
78,1,5/4/21
79,1,5/18/22
80,0,1/1/11
81,1,8/2/21
82,1,8/7/22
83,1,3/20/22
84,1,9/11/21
85,1,10/17/21
86,1,5/5/22
87,1,7/2/21
88,1,10/6/21
89,1,7/2/22
90,1,11/19/21
91,1,12/16/22
92,1,5/8/20
93,1,5/19/21
94,1,6/14/21
95,1,9/16/22
96,1,10/20/21
97,1,7/21/21
98,1,2/15/22
99,1,1/15/22
